Hue,Saturation,Value,Label
26.0,252.0,177.0,fields_tiles
26.0,248.0,177.0,fields_tiles
26.0,251.0,182.0,fields_tiles
26.0,249.0,181.0,fields_tiles
26.0,248.0,184.0,fields_tiles
26.0,249.0,183.0,fields_tiles
26.0,244.0,177.0,fields_tiles
26.0,248.0,193.0,fields_tiles
26.0,244.0,192.0,fields_tiles
26.0,239.0,196.0,fields_tiles
26.0,240.0,189.0,fields_tiles
26.0,247.0,191.0,fields_tiles
26.0,242.0,190.0,fields_tiles
26.0,247.0,190.0,fields_tiles
26.0,239.0,194.0,fields_tiles
26.0,250.0,193.0,fields_tiles
26.0,235.0,190.0,fields_tiles
26.0,243.0,189.0,fields_tiles
26.0,235.0,192.0,fields_tiles
26.0,246.0,191.0,fields_tiles
26.0,249.0,185.0,fields_tiles
26.0,244.0,185.0,fields_tiles
26.0,226.0,105.0,fields_tiles
26.0,246.0,189.0,fields_tiles
26.0,246.0,191.0,fields_tiles
26.0,245.0,192.0,fields_tiles
26.0,239.0,186.0,fields_tiles
26.0,245.0,199.0,fields_tiles
26.0,241.0,199.0,fields_tiles
25.0,238.0,180.0,fields_tiles
26.0,244.0,194.0,fields_tiles
26.0,233.0,192.0,fields_tiles
25.0,233.0,177.0,fields_tiles
26.0,243.0,197.0,fields_tiles
26.0,236.0,203.0,fields_tiles
26.0,236.0,197.0,fields_tiles
26.0,243.0,199.0,fields_tiles
26.0,239.0,197.0,fields_tiles
26.0,242.0,199.0,fields_tiles
26.0,236.0,202.0,fields_tiles
26.0,247.0,201.0,fields_tiles
26.0,232.0,198.0,fields_tiles
26.0,240.0,198.0,fields_tiles
26.0,231.0,200.0,fields_tiles
26.0,241.0,200.0,fields_tiles
26.0,248.0,181.0,fields_tiles
26.0,248.0,170.0,fields_tiles
26.0,243.0,181.0,fields_tiles
26.0,252.0,179.0,fields_tiles
26.0,248.0,181.0,fields_tiles
26.0,248.0,170.0,fields_tiles
26.0,243.0,181.0,fields_tiles
26.0,252.0,179.0,fields_tiles
26.0,245.0,193.0,fields_tiles
26.0,246.0,191.0,fields_tiles
26.0,236.0,188.0,fields_tiles
26.0,241.0,187.0,fields_tiles
27.0,244.0,190.0,fields_tiles
26.0,239.0,184.0,fields_tiles
26.0,247.0,190.0,fields_tiles
26.0,242.0,186.0,fields_tiles
27.0,248.0,192.0,fields_tiles
26.0,244.0,191.0,fields_tiles
27.0,237.0,190.0,fields_tiles
27.0,242.0,191.0,fields_tiles
26.0,244.0,190.0,fields_tiles
